"","country_name","year","elec_access","agri_forest_fish","agri_land","arable_land","armed_forces_perc","armed_forces_total","birth_rate","educ_expend","tourism","mortality","pop","health_expend","gdp_usd","income","gdp_perc"
"33","United Arab Emirates",2016,100,0.750862915175131,5.40411151788229,0.626584060827936,1.00894372560318,63000,10.993,3.89541180518837,17127259765.625,5.9,8994263,3.89580107,369255326235.534,340753429999.101,4.65350539500164
"34","United Arab Emirates",2017,100,0.761757604094752,5.40411151788229,0.626584060827936,0.995492473286829,63000,10.62,3.89981203810391,17644699218.75,5.6,9068296,4.00854969,390516804029.952,359564629358.578,-0.0873260713745054
"35","United Arab Emirates",2018,100,0.711464002250805,5.37524640946212,0.595606871303858,0.983613314439631,63000,10.049,3.90421227101946,18004099609.375,5.3,9140169,4.09854221,427049432157.931,386479973263.637,0.517239888701809
"36","United Arab Emirates",2019,100,0.746712202794498,5.49704308645452,0.702618980568854,0.972296794985665,63000,9.75,3.86020994186401,1.8382e+10,5,9211657,4.38618946,417989721742.682,379679863257.963,0.323686526806853
"37","United Arab Emirates",2020,100,0.963890714422504,5.48859476203886,0.689946493945367,0.970490914356487,63000,10.62,3.98417997360229,1.5085e+10,4.8,9287289,5.82477045,349473015330.157,318727473453.759,-5.73104452161624
"38","United Arab Emirates",2021,100,0.943418357564354,5.51339763446916,0.708251196845959,0.976813950566844,63901.2505948823,10.307,3.89403009414673,12562173089.028,4.5,9365145,5.30695152,415178792756.978,316908912626.074,3.48721466285863
"39","United Arab Emirates",2022,100,0.823739507605187,5.51552724979414,0.708050367695298,0.982072066590595,64763.8578579734,9.888,3.92181320268164,10039346178.056,4.3,9441129,5.90989248474595,507063968277.74,315090351798.389,6.98241746623059
"40","South Africa",2010,82.8,2.10778749314158,79.871237913098,10.331467574541,0.385939772826124,77153,22.274,5.13497018814087,8.139e+09,35.7,51784921,7.79358244,417363822801.713,337741371297.597,1.81773569736623
"41","South Africa",2011,83.6,2.04389308620297,79.4450535409574,9.91929700187126,0.368459029414269,77582,22.282,5.28898000717163,8.397e+09,33.4,52443325,7.94434404,458199494830.834,367431644394.668,1.87331822630892
"42","South Africa",2012,85.2,1.97670959546361,79.4178502831612,9.89209374407505,0.291749150791512,62100,22.353,5.52323007583618,7.145e+09,32,53145033,8.00428867,434400545085.811,350323870343.88,1.04422917046858
"43","South Africa",2013,85.2,1.92684924597199,79.4178502831612,9.89209374407505,0.355877089878408,77150,22.177,5.35071992874146,6.491e+09,31.1,53873616,8.10322285,400886013595.573,322009996355.505,1.09946173503064
"44","South Africa",2014,85.9,2.12574854869936,79.4178502831612,9.89209374407505,0.374183427127129,82250,22.057,5.48977994918823,6.314e+09,30.4,54729551,7.87136555,381198869776.106,309055651991.273,-0.172220609328434
"45","South Africa",2015,85.3,2.23397839045912,79.4178502831612,9.89209374407505,0.355311601354137,82150,21.3,5.48285007476807,5.734e+09,29.8,55876504,8.05304241,346709790458.563,286512572884.149,-0.75792811406113
"46","South Africa",2016,83.9,2.41418607394576,79.4178502831612,9.89209374407505,0.347416491041371,81400,20.25,5.4442400932312,5.354e+09,29.4,56422274,8.07959366,323585509674.481,264150916540.265,-0.309171167254917
"47","South Africa",2017,84.4,2.49379863849766,79.4178502831612,9.89209374407505,0.336469056707317,80000,20.643,5.59867000579834,6.068e+09,28.9,56641209,7.97711229,381448814653.456,311853811186.24,0.766941613003056
"48","South Africa",2018,84.7,2.2607038266992,79.4178502831612,9.89209374407505,0.377131693251471,89650,21.137,5.64401006698608,6.348e+09,28.5,57339635,8.08820343,405260723892.517,329150364059.474,0.319770421594569
"49","South Africa",2019,85,1.9503211452698,79.4178502831612,9.89209374407505,0.372784186329134,90000,21.276,5.91158008575439,5.866e+09,28.2,58087055,8.24418926,389330032224.269,316519190735.271,-1.03013294267365
"50","South Africa",2020,90,2.58242014471066,79.4178502831612,9.89209374407505,0.388296346724729,89000,20.326,6.17067003250122,1.594e+09,28.1,58801927,8.57258797,338291396026.698,273913960042.284,-7.10658878307846
"51","South Africa",2021,89.3,2.55729893348806,79.4178502831612,9.89209374407505,0.386453653316659,91821.4841863466,19.821,6.54902982711792,-2.678e+09,27.8,59392255,8.27309132,420117812466.041,339552672450.42,3.66236830398525
"52","South Africa",2022,86.5,2.83027513077134,79.382815259295,9.85828601258518,0.39382952681761,93689.3842161408,19.31,6.16726016998291,-6.95e+09,27.7,59893885,8.35100028195207,405270850098.738,321981895901.605,1.05687467771507
"53","Philippines",2010,85.5,13.7488650524217,40.580876681088,17.7750947446088,0.434593107148497,165500,25.511,2.66454243659973,5.964e+09,23.3,94636700,4.13,208368893151.144,206135924716.328,5.41803030821811
"54","Philippines",2011,87.2,14.0957351508044,41.1174833148875,18.2781634637958,0.419085970207064,165500,24.416,2.66454243659973,6.055e+09,23,96337913,4.03,234216730295.938,230737385312.53,2.02421991760072
