Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Nigeria,NGA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,23.8937040912791,22.2347109931956,21.8599586165277,20.7586228322439,19.9902547680805,20.6318934800012,20.9831097083173,20.8465714300542,21.203773720121,21.9062959303516,24.1433058670212,23.357058761851,23.6918718404603
Nigeria,NGA,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.5575392250513,73.7211370598505,73.8858328666952,74.0494307014943,74.2152244803847,74.3733324549557,74.542420149983,74.7049200127365,74.8729097357181,75.0376055425629,75.2033993214533,75.3691931003437,..
Nigeria,NGA,Arable land (% of land area),AG.LND.ARBL.ZS,39.461115320004,39.4951524534185,39.5302875588788,39.5643246922933,39.5994597977536,39.6334969311681,39.6686320366283,39.7026691700429,39.9881419019072,40.4844252665327,40.4844252665327,40.4844252665327,..
Nigeria,NGA,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.299149843842858,0.291108866737621,0.284817156879189,0.278720413849576,0.272131483450702,0.328079339557917,0.320234083429369,0.335663430808745,0.339410082750309,0.330990691057504,0.324918175986874,..,..
Nigeria,NGA,"Armed forces personnel, total",MS.MIL.TOTL.P1,162000,162000,162000,162000,162000,200000,200000,215000,223000,223000,223000,..,..
Nigeria,NGA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,42.094,41.798,41.241,40.603,40.069,39.51,39.128,38.689,38.248,37.849,37.467,37.117,36.611
Nigeria,NGA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,0.496685653924942,0.564658761024475,0.549233078956604,0.534206748008728,0.470742553472519,0.436954915523529,0.393045634031296,0.396354019641876,0.419998496770859,0.358478993177414,0.359637647867203,0.381919115781784,0.348516702651978
Nigeria,NGA,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,8348000000,9533000000,9240000000,9152000000,9204000000,9017000000,4524000000,8194000000,13218000000,16406000000,6613000000,..,..
Nigeria,NGA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,84.2,82.9,81.8,80.8,80,79.2,78.2,77,75.7,74,72.3,70.5,68.5
Nigeria,NGA,"Population, total",SP.POP.TOTL,160952853,165463745,170075932,174726123,179379016,183995785,188666931,193495907,198387623,203304492,208327405,213401323,218541212
Nigeria,NGA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.29653287,3.32077932,3.35984254,3.4206934,3.34840417,3.58194995,3.64773679,3.74762511,3.09069347,2.98547053,3.38063431,4.07625723,..
Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,366990417129.04,414466676831.16,463971018239.281,520117180313.906,574183763411.508,493026682800.63,404649125252.16,375745731053.427,421739251509.08,474517490844.461,432198898467.795,440838992188.478,472624596925.938
Nigeria,NGA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,293431576478.3,323487212414.446,371531355255.71,423720250266.34,483590240570.028,427297983711.111,354205619259.166,321488689032.274,348408553490.782,375139240375.531,363360574592.209,363312013594.576,..
Nigeria,NGA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.08187485498044,2.43700723662286,1.4035087785572,3.83236618064009,3.55216229892477,0.0769616167241907,-4.05270636180217,-1.70987309225109,-0.590389271247744,-0.26345637824295,-4.1620592907919,1.18282822257881,0.823296497959916
Mexico,MEX,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.2,99,99.1,99.1,99.2,99,99.5,100,99.5,99.6,99.4,100,100
Mexico,MEX,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,3.09200838849783,2.97569483968178,3.04872937148888,3.02454277578135,3.02713651715738,3.0851863436743,3.2462890783797,3.29751177575275,3.29695945169195,3.3122180551361,3.71191822328195,3.79192627596241,3.90515905212095
Mexico,MEX,Agricultural land (% of land area),AG.LND.AGRI.ZS,52.3712029630392,52.1217109493557,51.7050335656781,51.1772422130199,50.7976028190025,50.7626224954345,50.5866920445485,49.8706242444507,49.6494251395355,49.4385143650814,49.969392216878,49.9632192186013,..
Mexico,MEX,Arable land (% of land area),AG.LND.ARBL.ZS,11.7971141233056,11.6854857378019,11.6011214280203,11.5697420201137,11.3999845675043,11.3418555003987,11.1880449600041,10.4205355076005,10.2368888088685,9.97968054733918,10.3248540343116,10.3315414491113,..
Mexico,MEX,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.69527690799178,0.676185152639135,0.655397083179877,0.636333834905303,0.650574254470072,0.637374655973212,0.627334712330959,0.618868733005515,0.628610048349686,0.577275700450583,0.64172650248781,..,..
Mexico,MEX,"Armed forces personnel, total",MS.MIL.TOTL.P1,331750,329750,329750,325450,336050,336050,336050,336000,348000,328000,341000,..,..
Mexico,MEX,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,20.152,19.917,19.635,19.326,18.711,17.968,17.42,16.947,16.465,15.71,15.565,14.857,14.636
Mexico,MEX,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.93695020675659,4.90405988693237,4.88348007202148,4.50858020782471,5.06808996200562,5.05087995529175,4.75795984268188,4.39752006530762,4.13945007324219,..,4.50059986114502,4.24952983856201,..
Mexico,MEX,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,9001000000,9704000000,10735000000,11970000000,12556000000,12668000000,12823000000,13647000000,14074000000,12300000000,4286000000,..,..
Mexico,MEX,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,16.4,15.9,15.4,14.9,14.4,14,13.5,13.1,12.7,12.2,11.8,11.4,11
Mexico,MEX,"Population, total",SP.POP.TOTL,112532401,114150481,115755909,117290686,118755887,120149897,121519221,122839258,124013861,125085311,125998302,126705138,127504125
Mexico,MEX,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.73688889,5.51883602,5.66522074,5.80923605,5.55340958,5.72277355,5.55345821,5.45759058,5.38345814,5.44796371,6.22204065,6.07868719,..
Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,1105424238731.09,1229013703416.76,1255110424817.79,1327436290282.67,1364507717614.13,1213294467716.88,1112233497452.7,1190721475906,1256300182879.73,1305211135822.61,1120832412468.85,1313069763986.6,1463323889036.56
Mexico,MEX,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,837005140326.317,909917998364.882,923120025713.203,979078425937.207,1029001447035.09,930698815652.538,850738271614.726,909856329249.081,949012341118.881,989328890501.085,828724024427.823,950153268146.986,..
Mexico,MEX,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.58800272877093,1.97772849965163,2.11702296200693,-0.467572586540285,1.23907995260342,1.51074466053764,0.625682747204579,0.777009685996944,1.00624881882332,-1.10575827225217,-9.28666749671056,5.14933266062441,3.29761793855816
"Korea, Rep.",KOR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100
"Korea, Rep.",KOR,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2.1440163216522,2.20919995518876,2.1861850409628,2.09904711367279,2.05667705037638,2.00390779269061,1.85903488299151,1.8507562953431,1.74640339447114,1.66793097899135,1.76572048133322,1.85566425511796,1.64164716763395
"Korea, Rep.",KOR,Agricultural land (% of land area),AG.LND.AGRI.ZS,18.2407407407407,18.068731350962,18.3742678039256,18.154291462238,17.9441650415683,17.815177792601,17.4460708387613,17.1951594708235,16.9401148482363,16.7725409836066,16.608606557377,16.4241803278689,..
"Korea, Rep.",KOR,Arable land (% of land area),AG.LND.ARBL.ZS,15.5041152263374,15.3102171005247,15.6427910800534,15.3531911399421,15.1493379862465,15.0289907127097,14.5760034465427,14.323659111886,14.0894175553733,13.9754098360656,13.8524590163934,13.7602459016393,..
"Korea, Rep.",KOR,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,2.59443926102974,2.54919235826732,2.51052803922926,2.47611831753111,2.30943745316771,2.28334493298949,2.26090638595862,2.23635578699212,2.13229374661021,2.12781961699039,1.98970813849026,..,..
"Korea, Rep.",KOR,"Armed forces personnel, total",MS.MIL.TOTL.P1,659500,659500,659500,659500,632500,634500,634000,634000,608000,613000,569000,..,..
"Korea, Rep.",KOR,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,9.4,9.4,9.6,8.6,8.6,8.6,7.9,7,6.4,5.9,5.3,5.1,4.9
"Korea, Rep.",KOR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.52756690979004,..,..,..,..,4.45423984527588,4.33309984207153,4.32823991775513,4.45807981491089,4.68465995788574,4.8017201423645,4.86627006530762,..
"Korea, Rep.",KOR,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,20788000000,22195000000,22934000000,24459000000,26136000000,27957000000,29817000000,34453000000,38022000000,35339000000,16705000000,..,..
"Korea, Rep.",KOR,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.5,3.4,3.3,3.2,3.1,3,2.9,2.8,2.8,2.7,2.6,2.5,2.4
